is_word,rt,word,is_correct,age,modality,experiment_id,subject,is_outlier_word,is_outlier_subject,is_outlier,rtz_subject,rtz_word,rtz,word_id,Freq(ipm),StressPos,MeanValency,MedianValency,OLD20,PLD20,PUP,OUP,Duration,NormOLD,NormPLD,LengthOrth,LengthPhon
0,1.179120899992995,тунка,1,19,1,1,1101,0,0,0,-0.07544775457436712,-0.3619518395123929,-0.29546632887150587,0,,1,,,4.0,4.0,0.8,0.8,0.9972916666666668,0.8,0.8,5,5
0,1.619867000030354,малянц,1,19,1,1,1101,0,0,0,1.1693370981420095,0.4128217331659282,0.6488565646519687,1,,1,,,5.0,5.0,0.8333333333333334,0.8333333333333334,1.069229166666667,0.8333333333333334,0.8333333333333334,6,6
1,1.447417699964717,тетя,1,19,1,1,1101,0,0,0,0.6822941576258013,0.2213608351329569,0.5177210901834278,5,1.809559714635268,1,0.027027,0.073537,3.75,3.6,1.0,1.0,0.966104166666666,0.9375,0.9,4,4
0,1.085081500001252,шехня,1,19,1,1,1101,0,0,0,-0.34104016857039793,-0.7059713842479304,-0.2553990928153786,2,,1,,,4.55,4.9,0.6,0.6,0.9925625,0.91,0.98,5,5
0,1.206603699945845,выремь,1,19,1,1,1101,0,0,0,0.002171022060621188,-0.5702400419098851,-0.12429143282489451,3,,1,,,5.0,5.0,0.8,0.8333333333333334,0.9365,0.8333333333333334,1.0,6,5
0,1.089894599979743,меклим,1,19,1,1,1101,0,0,0,-0.3274466870913167,-0.5311771430681685,-0.19354748347805084,4,,2,,,5.0,5.0,0.6666666666666666,0.5,0.9282291666666668,0.8333333333333334,0.8333333333333334,6,6
1,1.177116999984719,огонь,1,19,1,1,1101,0,0,0,-0.08110730408926607,0.1137854415436356,0.2467016204069368,72,2.1455071714096627,2,0.027027,0.259581,3.95,3.8,1.0,1.0,0.879833333333333,0.79,0.95,5,4
1,1.19396509998478,кожа,1,19,1,1,1101,0,0,0,-0.03352376409799019,0.18362269311835427,0.2577208408870449,173,2.039414119176137,1,-0.45538,-0.37225,3.65,3.85,1.0,1.0,1.01708333333333,0.9125,0.9625,4,4
1,1.410305599914864,пакет,1,19,1,1,1101,0,0,0,0.577479662408178,0.1969787726879829,0.43273755784580464,165,1.8182258936139557,2,0.027027,-0.51846,4.0,4.2,1.0,1.0,0.996145833333333,0.8,0.84,5,5
1,1.037192099960521,часы,1,19,1,1,1101,0,0,0,-0.4762926410740091,-0.6081763608762785,-0.14017294234831287,28,1.8603380065709936,2,0.027027,-0.05278,3.85,4.0,1.0,1.0,0.9521875,0.9625,1.0,4,4
1,0.8136898999800906,волос,1,19,1,1,1101,0,0,0,-1.1075226237348748,-1.1675150091515467,-0.6767854015873095,120,2.151676230847048,1,-0.45526,-0.26401,4.0,4.0,1.0,0.8,0.980354166666666,0.8,0.8,5,5
